amount,date
5,2011-10-08T00:00:00
8,2011-10-08T00:00:00
5,2011-10-08T00:00:00
4,2011-10-08T00:00:00
90,2011-10-09T00:00:00
370,2011-10-09T00:00:00
10,2011-10-09T00:00:00
19,2011-10-13T00:00:00
6,2011-10-13T00:00:00
4,2011-10-13T00:00:00
15,2011-10-15T00:00:00
2,2011-10-15T00:00:00
8,2011-10-16T00:00:00
3,2011-10-16T00:00:00
4,2011-10-18T00:00:00
13,2011-10-18T00:00:00
5,2011-10-18T00:00:00
5,2011-10-19T00:00:00
15,2011-10-20T00:00:00
8,2011-10-22T00:00:00
5,2011-10-22T00:00:00
4,2011-10-22T00:00:00
3,2011-10-22T00:00:00
7,2011-10-22T00:00:00
130,2011-08-21T00:00:00
5,2011-10-23T00:00:00
6,2011-10-24T00:00:00
9,2011-10-24T00:00:00
4,2011-10-24T00:00:00
5,2011-10-26T00:00:00
5,2011-10-26T00:00:00
3,2011-10-26T00:00:00
5,2011-10-26T00:00:00
2,2011-10-26T00:00:00
5,2011-10-26T00:00:00
10,2011-10-28T00:00:00
5,2011-10-28T00:00:00
25,2011-10-28T00:00:00
4,2011-10-28T00:00:00
4,2011-10-28T00:00:00
3,2011-10-29T00:00:00
3,2011-10-30T00:00:00
4,2011-10-31T00:00:00
10,2011-10-31T00:00:00
6,2011-10-31T00:00:00
2,2011-10-31T00:00:00
8,2011-11-02T00:00:00
5,2011-11-02T00:00:00
6,2011-11-02T00:00:00
10,2011-11-02T00:00:00
5,2011-11-02T00:00:00
7,2011-11-02T00:00:00
5,2011-11-02T00:00:00
5,2011-11-03T00:00:00
6,2011-11-03T00:00:00
9,2011-11-03T00:00:00
2,2011-11-05T00:00:00
3,2011-11-05T00:00:00
6,2011-11-06T00:00:00
370,2011-11-07T00:00:00
140,2011-11-07T00:00:00
12,2011-11-08T00:00:00
3,2011-11-08T00:00:00
9,2011-11-08T00:00:00
2,2011-11-09T00:00:00
10,2011-11-10T00:00:00
15,2011-11-10T00:00:00
2,2011-11-11T00:00:00
6,2011-11-11T00:00:00
16,2011-11-12T00:00:00
8,2011-11-12T00:00:00
6,2011-11-13T00:00:00
11,2011-11-13T00:00:00
